location,countryname,year,actor,location_wdi,location_un,violence,protest,sanction,relaxation,palt,pdem,pmar,pobs,ppro,sral,stri,abdu,aeri,assa,beat,cbio,cbru,conc,corp,coup,grpg,htak,jack,maim,mine,pass,pexe,raid,riot,sbom,sexa,vbom,bana,cens,moni,poar,dmin,emsa,rcur,rele,rpol,rrpe,rrpr,rsan
AFG,Afghanistan,1994,state,AFG,4,70,1,0,5,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,1,5,0,0,0,0,27,5,18,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0
AFG,Afghanistan,1994,unk_,AFG,4,73,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,1,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1995,civil,AFG,4,76,2,0,7,0,1,0,1,0,0,0,2,24,0,0,0,0,0,0,0,0,6,0,0,0,10,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
AFG,Afghanistan,1995,state,AFG,4,93,2,1,3,0,0,1,1,0,0,0,0,12,0,0,0,0,0,2,1,7,0,0,0,0,8,4,59,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
AFG,Afghanistan,1995,unk_,AFG,4,44,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,5,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1996,civil,AFG,4,125,3,0,3,0,0,1,1,0,1,0,5,33,0,0,0,0,0,4,1,2,2,0,0,0,8,12,56,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0
AFG,Afghanistan,1996,state,AFG,4,113,2,2,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,6,2,5,0,1,0,0,23,9,53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AFG,Afghanistan,1996,unk_,AFG,4,79,1,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,11,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1997,civil,AFG,4,100,1,5,7,0,0,0,0,1,0,0,0,6,0,0,0,0,1,5,4,1,5,0,0,0,3,7,68,0,0,0,0,1,0,0,4,0,0,0,1,0,5,1,0
AFG,Afghanistan,1997,state,AFG,4,54,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,11,5,25,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0
AFG,Afghanistan,1997,unk_,AFG,4,33,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1998,civil,AFG,4,51,2,0,13,0,0,1,0,0,1,0,0,4,0,0,0,0,0,3,0,0,5,0,0,0,2,10,27,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0
AFG,Afghanistan,1998,state,AFG,4,51,1,3,6,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,17,6,19,0,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0
AFG,Afghanistan,1998,unk_,AFG,4,29,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1999,civil,AFG,4,27,2,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
AFG,Afghanistan,1999,state,AFG,4,34,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,0,0,8,1,13,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0
AFG,Afghanistan,1999,unk_,AFG,4,15,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AFG,Afghanistan,2000,civil,AFG,4,29,3,1,6,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,2,3,19,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0
AFG,Afghanistan,2000,state,AFG,4,26,3,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,3,7,8,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0
AFG,Afghanistan,2000,unk_,AFG,4,22,1,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
AFG,Afghanistan,2001,civil,AFG,4,175,20,16,16,0,4,2,1,6,3,4,8,5,3,0,0,0,3,3,3,6,6,0,0,0,24,33,76,5,0,0,0,0,5,3,8,0,0,0,5,0,11,0,0
AFG,Afghanistan,2001,state,AFG,4,251,7,7,11,0,0,0,0,3,3,1,0,57,3,4,1,0,2,6,0,7,2,0,1,0,46,17,105,0,0,0,0,0,1,0,6,0,3,1,0,0,6,0,1
AFG,Afghanistan,2001,unk_,AFG,4,211,5,0,1,0,1,1,0,0,1,2,0,84,1,0,0,0,0,0,0,55,0,0,0,0,11,7,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AFG,Afghanistan,2002,civil,AFG,4,50,7,15,8,0,3,1,0,0,2,1,0,4,3,1,1,0,0,0,0,0,2,0,0,0,9,17,13,0,0,0,0,0,0,0,15,0,0,1,1,0,5,1,0
AFG,Afghanistan,2002,state,AFG,4,218,11,16,16,0,2,1,0,0,7,1,0,19,16,4,0,0,6,4,2,0,2,0,0,1,91,34,39,0,0,0,0,4,0,0,12,1,0,0,3,0,12,0,0
AFG,Afghanistan,2002,unk_,AFG,4,104,3,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,27,0,0,0,5,11,9,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,2003,civil,AFG,4,118,9,7,1,0,6,0,0,2,1,0,0,2,2,0,0,0,0,0,1,2,4,0,0,0,6,54,46,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0
AFG,Afghanistan,2003,state,AFG,4,221,4,22,23,0,0,1,0,3,0,0,1,3,1,0,0,0,0,5,0,3,9,1,0,0,115,21,62,0,0,0,0,1,2,0,19,1,0,0,12,0,10,0,0
AFG,Afghanistan,2003,unk_,AFG,4,106,1,0,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,50,0,0,0,7,12,12,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,2004,civil,AFG,4,145,18,3,6,1,6,1,2,1,5,2,3,3,0,0,0,0,0,3,2,1,11,0,2,0,16,60,37,0,6,0,1,0,0,2,1,0,0,0,0,0,6,0,0
AFG,Afghanistan,2004,state,AFG,4,306,20,17,11,0,5,2,1,1,9,2,0,2,7,2,0,0,0,16,1,5,16,0,1,0,150,32,74,0,0,0,0,0,0,0,17,0,0,0,2,0,9,0,0
AFG,Afghanistan,2004,unk_,AFG,4,146,6,0,0,0,1,0,0,0,3,2,0,8,0,0,0,0,0,0,0,92,0,0,0,7,12,10,10,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1990,civil,ALB,8,14,21,0,1,0,7,1,0,0,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALB,Albania,1990,state,ALB,8,50,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,15,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1990,unk_,ALB,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1991,civil,ALB,8,10,37,2,3,3,4,1,3,1,4,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
ALB,Albania,1991,state,ALB,8,42,5,4,6,1,0,0,0,0,1,3,0,0,1,0,0,0,9,0,0,0,0,0,1,0,12,12,7,0,0,0,0,2,0,0,2,0,0,0,1,0,5,0,0
ALB,Albania,1991,unk_,ALB,8,4,5,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1992,civil,ALB,8,5,9,0,0,2,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1992,state,ALB,8,16,4,2,1,0,1,1,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
ALB,Albania,1992,unk_,ALB,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1993,civil,ALB,8,5,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALB,Albania,1993,state,ALB,8,18,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
ALB,Albania,1993,unk_,ALB,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1994,civil,ALB,8,1,9,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1994,state,ALB,8,12,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0
ALB,Albania,1994,unk_,ALB,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1995,civil,ALB,8,2,6,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALB,Albania,1995,state,ALB,8,17,2,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
ALB,Albania,1995,unk_,ALB,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1996,civil,ALB,8,4,19,2,0,2,6,0,2,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ALB,Albania,1996,state,ALB,8,23,5,3,1,0,1,0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,13,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
ALB,Albania,1996,unk_,ALB,8,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1997,civil,ALB,8,91,44,2,3,0,20,10,4,7,3,0,0,0,1,1,0,0,0,0,0,1,5,0,1,0,11,26,18,27,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0
ALB,Albania,1997,state,ALB,8,123,8,12,6,3,0,0,1,0,1,3,0,0,0,1,0,0,13,0,0,5,0,0,4,0,48,32,18,2,0,0,0,8,1,0,3,0,0,3,1,0,1,1,0
ALB,Albania,1997,unk_,ALB,8,52,4,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,16,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1998,civil,ALB,8,45,34,0,3,2,12,5,1,0,3,11,0,0,2,0,0,0,2,0,0,1,3,0,1,0,3,21,7,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
ALB,Albania,1998,state,ALB,8,71,2,2,1,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,23,22,20,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
ALB,Albania,1998,unk_,ALB,8,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,1999,civil,ALB,8,20,9,1,4,0,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,4,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1
ALB,Albania,1999,state,ALB,8,79,2,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,10,1,0,0,0,34,12,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ALB,Albania,1999,unk_,ALB,8,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2000,civil,ALB,8,12,4,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
ALB,Albania,2000,state,ALB,8,23,1,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,8,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
ALB,Albania,2000,unk_,ALB,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2001,civil,ALB,8,19,6,0,6,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
ALB,Albania,2001,state,ALB,8,61,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,1,0,4,10,36,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0
ALB,Albania,2001,unk_,ALB,8,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2002,civil,ALB,8,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ALB,Albania,2002,state,ALB,8,14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
ALB,Albania,2002,unk_,ALB,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2003,civil,ALB,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2003,state,ALB,8,6,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ALB,Albania,2003,unk_,ALB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2004,civil,ALB,8,11,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,2004,state,ALB,8,9,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0
ALB,Albania,2004,unk_,ALB,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1990,civil,DZA,12,20,44,0,7,2,14,9,3,0,1,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,4,2,5,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
ALG,Algeria,1990,state,DZA,12,23,8,6,3,0,0,2,0,0,1,5,0,0,1,0,0,0,4,0,1,0,0,2,0,0,11,0,3,1,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0
ALG,Algeria,1990,unk_,DZA,12,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1991,civil,DZA,12,12,26,0,1,2,4,3,3,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALG,Algeria,1991,state,DZA,12,53,9,14,8,3,2,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,1,0,0,0,19,14,10,1,0,0,0,7,1,0,6,0,0,1,1,0,6,0,0
ALG,Algeria,1991,unk_,DZA,12,9,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1992,civil,DZA,12,119,11,1,0,0,4,4,0,0,1,2,0,0,6,0,0,0,0,0,0,2,1,0,0,0,15,81,8,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1992,state,DZA,12,190,6,53,21,0,0,0,1,1,3,1,0,0,7,0,0,0,10,2,0,3,5,0,1,0,70,64,27,1,0,0,0,14,2,0,37,1,0,0,5,0,14,1,0
ALG,Algeria,1992,unk_,DZA,12,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,3,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1993,civil,DZA,12,101,5,0,3,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,17,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
ALG,Algeria,1993,state,DZA,12,194,5,7,7,0,0,0,0,0,2,3,0,0,9,0,0,0,4,3,0,0,4,0,2,0,69,80,23,0,0,0,0,1,0,0,6,0,0,0,1,0,6,0,0
ALG,Algeria,1993,unk_,DZA,12,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1994,civil,DZA,12,38,8,0,3,0,1,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,4,1,1,0,5,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ALG,Algeria,1994,state,DZA,12,107,5,7,5,0,0,1,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,4,1,0,16,63,19,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0
ALG,Algeria,1994,unk_,DZA,12,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1995,civil,DZA,12,71,8,0,0,0,3,1,0,0,1,3,0,0,3,0,0,0,0,0,0,3,3,0,1,0,5,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1995,state,DZA,12,102,3,11,4,0,0,0,0,1,0,2,0,0,3,0,0,0,3,1,0,0,0,2,0,0,19,60,14,0,0,0,0,0,2,0,9,0,0,0,0,0,3,1,0
ALG,Algeria,1995,unk_,DZA,12,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,3,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1996,civil,DZA,12,34,13,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,1,1,0,0,9,15,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1996,state,DZA,12,63,3,4,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,1,0,0,0,0,12,34,10,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0
ALG,Algeria,1996,unk_,DZA,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1997,civil,DZA,12,38,9,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,8,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1997,state,DZA,12,65,4,3,6,0,0,0,1,0,1,2,0,1,0,0,0,0,5,1,0,0,0,0,1,0,6,31,20,0,0,0,0,2,0,0,1,1,0,0,0,0,5,0,0
ALG,Algeria,1997,unk_,DZA,12,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1998,civil,DZA,12,115,14,0,1,0,3,0,1,0,1,9,0,0,2,0,0,0,0,4,0,4,0,0,6,2,25,56,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALG,Algeria,1998,state,DZA,12,133,11,5,2,0,1,1,0,1,5,3,0,1,5,0,0,0,3,3,0,0,1,0,2,0,49,45,24,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0
ALG,Algeria,1998,unk_,DZA,12,91,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,80,0,0,0,2,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,1999,civil,DZA,12,109,8,1,0,0,5,0,0,0,2,1,0,0,4,0,0,0,0,0,0,4,2,0,0,4,13,67,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALG,Algeria,1999,state,DZA,12,62,3,0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,23,12,1,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0
ALG,Algeria,1999,unk_,DZA,12,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,2000,civil,DZA,12,65,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,49,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,2000,state,DZA,12,41,51,3,2,0,0,0,1,0,48,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,11,19,7,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0
ALG,Algeria,2000,unk_,DZA,12,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALG,Algeria,2001,civil,DZA,12,59,13,0,0,0,7,1,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,27,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
